Unique_ID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Metabolism_W,Temperature_C,Q10,Trophic,Group,Family,Genus,Reference,Note_mass,Note_metabolism,Note_name
12,1,2,Mammal,Afrosoricida,Microgale dobsoni,44.6,0.233333333,32.5,2.81,Carnivore,Eutherian,Tenrecidae,Microgale,Stephenson and Racey (1993b),,,
13,1,2,Mammal,Afrosoricida,Microgale dobsoni,44.6,0.315,31.05,2.81,Carnivore,Eutherian,Microgale,Tenrecidae,AnAge Data; HAGRID: 1545; Refs: 36;420;434;455;610;600;000,,captivity; small sample size; acceptable quality,Dobson's shrew tenrec
14,1,2,Mammal,Afrosoricida,Microgale drouhardi,11.9,0.158333333,,2.81,Carnivore,Eutherian,Tenrecidae,Microgale,Stephenson and Racey (1993b),,,
15,1,2,Mammal,Afrosoricida,Microgale talazaci,44,0.241666667,33.1,2.81,Carnivore,Eutherian,Tenrecidae,Microgale,Stephenson and Racey (1993b),,,
16,1,2,Mammal,Afrosoricida,Microgale talazaci,44,0.243,30.95,2.81,Carnivore,Eutherian,Microgale,Tenrecidae,AnAge Data; HAGRID: 1546; Refs: 36;420;434;455;731,,captivity; small sample size; acceptable quality,Talazac's shrew tenrec
17,1,2,Mammal,Afrosoricida,Oryzorictes hova,44.4,0.247222222,,2.81,Carnivore,Eutherian,Tenrecidae,Oryzorictes,Stephenson (1994b),,,
18,1,9,Mammal,Afrosoricida,Setifer setosus,530,0.680555556,32.2,2.81,Omnivore,Eutherian,Tenrecidae,Setifer,McNab (1980),,,
19,1,9,Mammal,Afrosoricida,Setifer setosus,427.6,0.573,32.35,2.81,Omnivore,Eutherian,Setifer,Tenrecidae,AnAge Data; HAGRID: 1547; Refs: 364;204;344;556;106;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Greater hedgehog tenrec
20,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,790,1.455555556,,2.81,Carnivore,Eutherian,Tenrecidae,Tenrec,Hildwein (1970),,,
21,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,650,0.729,33.15,2.81,Carnivore,Eutherian,Tenrec,Tenrecidae,AnAge Data; HAGRID: 1548; Refs: 36;420;434;436;455;500;000;000;000;000;000,,captivity; small sample size; acceptable quality,Tenrec
22,1,1,Mammal,Artiodactyla,Alces alces,325000,286.847,38.75,2.81,Herbivore,Eutherian,Alces,Cervidae,AnAge Data; HAGRID: 1665; Refs: 1;36;420;434;441;455;538;671;676;677;680;731;892;1135;1143,,unknown; medium sample size; low quality,Moose
23,1,1,Mammal,Artiodactyla,Alces americanus,350000,318.4316358,38.6,2.81,Herbivore,Eutherian,Cervidae,Alces,Reneckker and Hudson (1986),,,
24,1,1,Mammal,Artiodactyla,Antilocapra americana,37800,59.03611111,,2.81,Herbivore,Eutherian,Antilocapridae,Antilocapra,Wesley et al. (1973),,,
25,1,1,Mammal,Artiodactyla,Antilocapra americana,34779.3,50.973,38.15,2.81,Herbivore,Eutherian,Antilocapra,Antilocapridae,AnAge Data; HAGRID: 1549; Refs: 3;642;043;444;145;550;000;000;000;000;000;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Pronghorn
26,1,1,Mammal,Artiodactyla,Bos taurus,347000,306.77,38.15,2.81,Herbivore,Eutherian,Bos,Bovidae,AnAge Data; HAGRID: 1564; Refs: 36;189;434;436;715;700;000;000;000;000;000,,captivity; large sample size; questionable quality,Domestic cattle
27,1,1,Mammal,Artiodactyla,Camelus dromedarius,407000,224.7444444,38.13,2.81,Herbivore,Eutherian,Camelidae,Camelus,Schmidt-Nielsen et al. (1967),,,
28,1,1,Mammal,Artiodactyla,Camelus dromedarius,407000,224.779,37.65,2.81,Herbivore,Eutherian,Camelus,Camelidae,AnAge Data; HAGRID: 1659; Refs: 3;630;230;343;445;560;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Dromedary
29,1,1,Mammal,Artiodactyla,Capreolus capreolus,19000,41.54444444,,2.81,Herbivore,Eutherian,Cervidae,Capreolus,Weiner (1977),,,
30,1,1,Mammal,Artiodactyla,Capreolus capreolus,21500,46.347,38.15,2.81,Herbivore,Eutherian,Capreolus,Cervidae,AnAge Data; HAGRID: 1671; Refs: 36;86;420;455;542;610;671;676;677;680;800;882;1135;1143;1150;1206,,captivity; medium sample size; acceptable quality,Western roe deer
31,1,1,Mammal,Artiodactyla,Cervus elaphus,58000,90.58333333,,2.81,Herbivore,Eutherian,Cervidae,Cervus,Brockway and Maloiy (1968),,,
32,1,1,Mammal,Artiodactyla,Cervus elaphus,67000,112.43,35.35,2.81,Herbivore,Eutherian,Cervus,Cervidae,AnAge Data; HAGRID: 1673; Refs: 36;86;145;146;147;434;455;671;676;677;680;731;789;790;791;900;1009;1135;1143;1150,,captivity; large sample size; high quality,Red deer
33,1,1,Mammal,Artiodactyla,Connochaetes taurinus,140000,156.1777778,,2.81,Herbivore,Eutherian,Bovidae,Connochaetes,Taylor et al. (1969b),,,
34,1,1,Mammal,Artiodactyla,Connochaetes taurinus,196500,230.073,38.15,2.81,Herbivore,Eutherian,Connochaetes,Bovidae,AnAge Data; HAGRID: 1591; Refs: 364;204;556;106;716;000;000;000;000,,captivity; large sample size; high quality,Blue wildebeest
35,1,1,Mammal,Artiodactyla,Gazella subgutturosa,17100,25.65833333,,2.81,Herbivore,Eutherian,Bovidae,Gazella,Ostrowski et al. 2006,,,
36,1,1,Mammal,Artiodactyla,Kobus ellipsiprymnus,100000,148.9277778,38.7,2.81,Herbivore,Eutherian,Bovidae,Kobus,Taylor et al. (1969a),,,
37,1,1,Mammal,Artiodactyla,Kobus ellipsiprymnus,100000,148.949,38.85,2.81,Herbivore,Eutherian,Kobus,Bovidae,AnAge Data; HAGRID: 1608; Refs: 3;643;445;561;067;160;000;000;000;000;000,,captivity; large sample size; high quality,Waterbuck
38,1,1,Mammal,Artiodactyla,Lama glama,115000,148.94,38.45,2.81,Herbivore,Eutherian,Lama,Camelidae,AnAge Data; HAGRID: 1660; Refs: 364;344;556;719;781;000,,captivity; large sample size; high quality,Llama
39,1,1,Mammal,Artiodactyla,Madoqua kirkii,4600,10.77777778,37.9,2.81,Herbivore,Eutherian,Bovidae,Madoqua,Kamau (1988),,,
40,1,1,Mammal,Artiodactyla,Madoqua kirkii,4290,11.966,39.15,2.81,Herbivore,Eutherian,Madoqua,Bovidae,AnAge Data; HAGRID: 1614; Refs: 364;344;556;106;716;000;000;000;000,,captivity; medium sample size; acceptable quality,Kirk's dik-dik
41,1,1,Mammal,Artiodactyla,Odocoileus virginianus,67625,94.3,,2.81,Herbivore,Eutherian,Cervidae,Odocoileus,Silver et al. (1969),,,
42,1,1,Mammal,Artiodactyla,Odocoileus virginianus,61862.5,123.447,39.15,2.81,Herbivore,Eutherian,Odocoileus,Cervidae,AnAge Data; HAGRID: 1688; Refs: 36;86;420;434;441;455;610;677;680;731;956;1143,,captivity; large sample size; high quality,White-tailed deer
43,1,1,Mammal,Artiodactyla,Oreamnos americanus,32000,46.40833333,,2.81,Herbivore,Eutherian,Bovidae,Oreamnos,Krog and Monson (1954),,,
44,1,1,Mammal,Artiodactyla,Oreamnos americanus,32000,46.414,,2.81,Herbivore,Eutherian,Oreamnos,Bovidae,AnAge Data; HAGRID: 1623; Refs: 3;643;444;144;845;560;000;000;000,,captivity; small sample size; acceptable quality,Mountain goat
45,1,1,Mammal,Artiodactyla,Oryx leucoryx,84100,103.9361111,38.6,2.81,Herbivore,Eutherian,Bovidae,Oryx,Williams et al. (2001),,,
46,1,1,Mammal,Artiodactyla,Ovibos moschatus,224500,139.1888889,,2.81,Herbivore,Eutherian,Bovidae,Ovibos,Nilssen et al. (1994),,,
47,1,1,Mammal,Artiodactyla,Ovis canadensis,65000,130.5194444,,2.81,Herbivore,Eutherian,Bovidae,Ovis,Chappel and Hudson (1978),,,
48,1,1,Mammal,Artiodactyla,Ovis canadensis,67030.8,114.674,38.15,2.81,Herbivore,Eutherian,Ovis,Bovidae,AnAge Data; HAGRID: 1632; Refs: 36;420;441;455;573;600;000;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Bighorn sheep
49,1,1,Mammal,Artiodactyla,Pecari tajacu,20200,32.45,38,2.81,Herbivore,Eutherian,Tayassuidae,Pecari,Zervanos (1975),,,
50,1,1,Mammal,Artiodactyla,Pecari tajacu,20500,33.165,37.65,2.81,Herbivore,Eutherian,Pecari,Tayassuidae,AnAge Data; HAGRID: 1716; Refs: 36;420;434;455;671;900,,captivity; large sample size; high quality,Collared peccary
51,1,1,Mammal,Artiodactyla,Philantomba monticola,4400,10.55277778,39.1,2.81,Herbivore,Eutherian,Bovidae,Philantomba,Haim and Skinner (1991),,,
52,1,1,Mammal,Artiodactyla,Philantomba monticola,4200,10.075,39.55,2.81,Herbivore,Eutherian,Philantomba,Bovidae,AnAge Data; HAGRID: 1636; Refs: 364;344;555;426;711;000,,captivity; medium sample size; acceptable quality,Blue duiker
53,1,1,Mammal,Artiodactyla,Rangifer tarandus,94100,133.3166667,,2.81,Herbivore,Eutherian,Cervidae,Rangifer,McEwan (1970),,,
54,1,1,Mammal,Artiodactyla,Rangifer tarandus,85000,119.66,37.35,2.81,Herbivore,Eutherian,Rangifer,Cervidae,AnAge Data; HAGRID: 1692; Refs: 36;344;393;434;441;400;000;000;000;000;000;000;000;000;000,,captivity; large sample size; high quality,Caribou and reindeer
55,1,1,Mammal,Artiodactyla,Raphicerus campestris,8500,18.25277778,39.4,2.81,Herbivore,Eutherian,Bovidae,Raphicerus,Haim and Skinner (1991),,,
56,1,1,Mammal,Artiodactyla,Raphicerus campestris,9600,20.619,39.55,2.81,Herbivore,Eutherian,Raphicerus,Bovidae,AnAge Data; HAGRID: 1639; Refs: 364;556;711;032,,captivity; medium sample size; acceptable quality,Steenbok
57,1,1,Mammal,Artiodactyla,Sus scrofa,135000,104.15,39.15,2.81,Herbivore,Eutherian,Sus,Suidae,AnAge Data; HAGRID: 1713; Refs: 36;81;189;318;319;434;441;455;542;671;731;978;998;1136;1143;1207,,captivity; large sample size; high quality,Wild boar
58,1,1,Mammal,Artiodactyla,Taurotragus oryx,150000,200.8,36.5,2.81,Herbivore,Eutherian,Bovidae,Taurotragus,Taylor and Lyman (1967),,,
59,1,1,Mammal,Artiodactyla,Taurotragus oryx,141404,190.209,36.65,2.81,Herbivore,Eutherian,Taurotragus,Bovidae,AnAge Data; HAGRID: 1650; Refs: 364;344;556;106;716;000;000;000;000,,captivity; large sample size; high quality,Eland
60,1,1,Mammal,Artiodactyla,Tragulus javanicus,1625,4.886111111,38.4,2.81,Herbivore,Eutherian,Tragulidae,Tragulus,Whittow et al. (1977),,,
61,1,1,Mammal,Artiodactyla,Tragulus javanicus,1615.5,4.883,38.55,2.81,Herbivore,Eutherian,Tragulus,Tragulidae,AnAge Data; HAGRID: 1720; Refs: 364;344;555;426;106;000;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Lesser mouse-deer
62,1,2,Mammal,Carnivora,Acinonyx jubatus,38446.1,61.77,39.15,2.81,Carnivore,Eutherian,Acinonyx,Felidae,AnAge Data; HAGRID: 1759; Refs: 364;204;344;556;106;000;000;000;000,,captivity; large sample size; high quality,Cheetah
63,1,2,Mammal,Carnivora,Acinonyx jubatus,37900,50.10277778,,2.81,Carnivore,Eutherian,Felidae,Acinonyx,McNab (2000),,,
64,1,2,Mammal,Carnivora,Ailurus fulgens,5740,4.898,37.75,2.81,Carnivore,Eutherian,Ailurus,Ailuridae,AnAge Data; HAGRID: 1722; Refs: 364;204;344;556;106;000;000;000;000,,captivity; large sample size; high quality,Red panda
65,1,2,Mammal,Carnivora,Ailurus fulgens,5740,4.9,37.6,2.81,Carnivore,Eutherian,Ailuridae,Ailurus,McNab (1988),,,
66,1,2,Mammal,Carnivora,Arctictis binturong,14280,12.747,36.85,2.81,Carnivore,Eutherian,Arctictis,Viverridae,AnAge Data; HAGRID: 1908; Refs: 36;420;434;455;610;600;000,,captivity; medium sample size; acceptable quality,Binturong
67,1,2,Mammal,Carnivora,Arctictis binturong,14280,6.291666667,36.7,2.81,Carnivore,Eutherian,Viverridae,Arctictis,McNab (1995),,,
68,1,2,Mammal,Carnivora,Arctogalidia trivirgata,2010,3.085,36.35,2.81,Carnivore,Eutherian,Arctogalidia,Viverridae,AnAge Data; HAGRID: 1909; Refs: 36;420;434;455;671;900,,captivity; small sample size; acceptable quality,Small-toothed palm civet
69,1,2,Mammal,Carnivora,Arctogalidia trivirgata,2010,3.083333333,36.2,2.81,Carnivore,Eutherian,Viverridae,Arctogalidia,McNab (1995),,,
70,1,2,Mammal,Carnivora,Bassariscus sumichrasti,1280,3.537,38.95,2.81,Carnivore,Eutherian,Bassariscus,Procyonidae,AnAge Data; HAGRID: 1894; Refs: 36;420;434;455;671,,captivity; small sample size; acceptable quality,Cacomistle
71,1,2,Mammal,Carnivora,Bassariscus sumichrasti,1282,3.538888889,38.8,2.81,Carnivore,Eutherian,Procyonidae,Bassariscus,Chevalier (1987),,,
72,1,2,Mammal,Carnivora,Canis latrans,10148.9,19.423,37.15,2.81,Carnivore,Eutherian,Canis,Canidae,AnAge Data; HAGRID: 1727; Refs: 36;420;434;455;538;600;000;000;000,,captivity; medium sample size; acceptable quality,Coyote
73,1,2,Mammal,Carnivora,Canis latrans,10000,15,,2.81,Carnivore,Eutherian,Canidae,Canis,Golightly and Ohmart (1983),,,
74,1,2,Mammal,Carnivora,Canis lupus,33000,45.09722222,,2.81,Carnivore,Eutherian,Canidae,Canis,Okarma and Koteja (1987),,,
75,1,2,Mammal,Carnivora,Canis mesomelas,7720,21.533,38.15,2.81,Carnivore,Eutherian,Canis,Canidae,AnAge Data; HAGRID: 1729; Refs: 36;420;434;455;610;600;000,,captivity; medium sample size; acceptable quality,Black-backed jackal
76,1,2,Mammal,Carnivora,Canis mesomelas,7720,21.05555556,37.3,2.81,Carnivore,Eutherian,Canidae,Canis,Downs et al. (1991),,,
77,1,2,Mammal,Carnivora,Cerdocyon thous,5444,8.502,38.35,2.81,Carnivore,Eutherian,Cerdocyon,Canidae,AnAge Data; HAGRID: 1730; Refs: 36;420;434;455;610;600;000;000,,captivity; small sample size; acceptable quality,Crab-eating fox
78,1,2,Mammal,Carnivora,Cerdocyon thous,5444,8.502777778,38.2,2.81,Carnivore,Eutherian,Canidae,Cerdocyon,Hennemann et al. (1983),,,
79,1,9,Mammal,Carnivora,Eira barbara,2950,6.811,38.55,2.81,Omnivore,Eutherian,Eira,Mustelidae,AnAge Data; HAGRID: 1823; Refs: 36;420;434;455;610;600;000,,captivity; medium sample size; acceptable quality,Tayra
80,1,9,Mammal,Carnivora,Eira barbara,2950,6.811111111,38.4,2.81,Omnivore,Eutherian,Mustelidae,Eira,McNab (1995),,,
81,1,2,Mammal,Carnivora,Enhydra lutris,26832.8,98.479,37.65,2.81,Carnivore,Eutherian,Enhydra,Mustelidae,AnAge Data; HAGRID: 1824; Refs: 3;643;444;144;345;550;000;000;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Sea otter
82,1,2,Mammal,Carnivora,Enhydra lutris,18000,72.28888889,38.1,2.81,Carnivore,Eutherian,Mustelidae,Enhydra,Morrison et al. (1974),,,
83,1,2,Mammal,Carnivora,Fossa fossana,2260,5.02262,38.05,2.81,Carnivore,Eutherian,Fossa,Eupleridae,AnAge Data; HAGRID: 1756; Refs: 36;420;434;455;610;600;000;000,,captivity; small sample size; acceptable quality,Malagasy civet
84,1,2,Mammal,Carnivora,Fossa fossana,2260,5.055555556,37.9,2.81,Carnivore,Eutherian,Eupleridae,Fossa,McNab (1995),,,
85,1,2,Mammal,Carnivora,Galerella sanguinea,519.6,2.202,38.85,2.81,Carnivore,Eutherian,Galerella,Herpestidae,AnAge Data; HAGRID: 1798; Refs: 36;420;434;455;671;900,,captivity; small sample size; acceptable quality,Slender mongoose
86,1,2,Mammal,Carnivora,Galerella sanguinea,500,2.119444444,38.7,2.81,Carnivore,Eutherian,Herpestidae,Galerella,Kamau et al. (1979),,,
87,1,2,Mammal,Carnivora,Genetta tigrina,1699,4.189,37.15,2.81,Carnivore,Eutherian,Genetta,Viverridae,AnAge Data; HAGRID: 1918; Refs: 36;420;455;610;671;900,,captivity; small sample size; acceptable quality,Large-spotted genet
88,1,2,Mammal,Carnivora,Genetta tigrina,1732,4.25,38.5,2.81,Carnivore,Eutherian,Viverridae,Genetta,Hennemann and Konecny (1980),,,
89,1,2,Mammal,Carnivora,Gulo gulo,12700,31.765,37.15,2.81,Carnivore,Eutherian,Gulo,Mustelidae,AnAge Data; HAGRID: 1827; Refs: 36;420;434;455;610;600;000;000;000,,captivity; medium sample size; acceptable quality,Wolverine
90,1,2,Mammal,Carnivora,Gulo gulo,12700,32.58611111,,2.81,Carnivore,Eutherian,Mustelidae,Gulo,Iversen (1972),,,
91,1,2,Mammal,Carnivora,Herpestes javanicus,611,2.248,39.95,2.81,Carnivore,Eutherian,Herpestes,Herpestidae,AnAge Data; HAGRID: 1803; Refs: 36;420;434;455;610;600;000;000;000,,captivity; small sample size; acceptable quality,Javan mongoose
92,1,2,Mammal,Carnivora,Herpestes javanicus,611,2.25,39.76,2.81,Carnivore,Eutherian,Herpestidae,Herpestes,Ebisu and Whittow (1976),,,
93,1,2,Mammal,Carnivora,Histriophoca fasciata,54000,118.59,,2.81,Carnivore,Eutherian,Histriophoca,Phocidae,AnAge Data; HAGRID: 1876; Refs: 36;434;441;443;455;500;000,,unknown; small sample size; low quality,Ribbon seal
94,1,2,Mammal,Carnivora,Hyaena hyaena,34300,31.954,37.15,2.81,Carnivore,Eutherian,Hyaena,Hyaenidae,AnAge Data; HAGRID: 1813; Refs: 36;420;434;455;610;600;000,,captivity; medium sample size; acceptable quality,Striped hyena
95,1,2,Mammal,Carnivora,Hyaena hyaena,34300,31.95,,2.81,Carnivore,Eutherian,Hyaenidae,Hyaena,McNab (2000),,,
96,1,2,Mammal,Carnivora,Leopardus pardalis,10500,17.368,38.15,2.81,Carnivore,Eutherian,Leopardus,Felidae,AnAge Data; HAGRID: 1771; Refs: 36;420;434;441;448;400;000;000;000;000,,captivity; medium sample size; acceptable quality,Ocelot
97,1,2,Mammal,Carnivora,Leopardus pardalis,10500,17.56944444,38,2.81,Carnivore,Eutherian,Felidae,Leopardus,McNab (2000),,,
98,1,2,Mammal,Carnivora,Leopardus wiedii,3600,5.227,38.55,2.81,Carnivore,Eutherian,Leopardus,Felidae,AnAge Data; HAGRID: 1773; Refs: 364;344;555;386;106;000;000;000,,captivity; medium sample size; acceptable quality,Margay
99,1,2,Mammal,Carnivora,Leopardus wiedii,3600,5.222222222,38,2.81,Carnivore,Eutherian,Felidae,Leopardus,McNab (2000),,,
100,1,2,Mammal,Carnivora,Leptailurus serval,1012,1.44,,2.81,Carnivore,Eutherian,Leptailurus,Felidae,AnAge Data; HAGRID: 1774; Refs: 364;344;555;426;106;000;000,,captivity; large sample size; high quality,Serval
101,1,2,Mammal,Carnivora,Leptailurus serval,10100,17.46388889,36.7,2.81,Carnivore,Eutherian,Felidae,Leptailurus,Downs et al. (1991),,,
102,1,2,Mammal,Carnivora,Leptonychotes weddellii,388500,416.0583333,,2.81,Carnivore,Eutherian,Phocidae,Leptonychotes,Williams et al. (2001),,,
103,1,2,Mammal,Carnivora,Lutra lutra,10000,25.104,38.25,2.81,Carnivore,Eutherian,Lutra,Mustelidae,AnAge Data; HAGRID: 1833; Refs: 36;420;434;455;542;600;000,,captivity; medium sample size; acceptable quality,European otter
104,1,2,Mammal,Carnivora,Lutra lutra,10000,25.1,,2.81,Carnivore,Eutherian,Mustelidae,Lutra,Iversen (1972),,,
105,1,2,Mammal,Carnivora,Lycalopex culpaeus,5418,11.36388889,,2.81,Carnivore,Eutherian,Canidae,Lycalopex,Silva et al. (2004),,,
106,1,2,Mammal,Carnivora,Lycaon pictus,8750,33.01,,2.81,Carnivore,Eutherian,Lycaon,Canidae,AnAge Data; HAGRID: 1738; Refs: 36;434;455;671,,captivity; large sample size; high quality,African wild dog
107,1,2,Mammal,Carnivora,Lynx rufus,9400,23.446,,2.81,Carnivore,Eutherian,Lynx,Felidae,AnAge Data; HAGRID: 1778; Refs: 364;344;555;386;716;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Bobcat
108,1,2,Mammal,Carnivora,Lynx rufus,9400,23.54166667,,2.81,Carnivore,Eutherian,Felidae,Lynx,McNab (2000),,,
109,1,2,Mammal,Carnivora,Martes americana,966.5,3.579,38.15,2.81,Carnivore,Eutherian,Martes,Mustelidae,AnAge Data; HAGRID: 1835; Refs: 36;420;434;441;455;500;000;000;000,,captivity; tiny sample size; acceptable quality,American marten
110,1,2,Mammal,Carnivora,Martes americana,1038,3.822222222,,2.81,Carnivore,Eutherian,Mustelidae,Martes,Worthen and Kilgore (1981),,,
111,1,2,Mammal,Carnivora,Martes martes,920,4,37.15,2.81,Carnivore,Eutherian,Martes,Mustelidae,AnAge Data; HAGRID: 1838; Refs: 36;420;434;455;610;600;000,,captivity; small sample size; acceptable quality,European pine marten
112,1,2,Mammal,Carnivora,Martes martes,920,4.105555556,,2.81,Carnivore,Eutherian,Mustelidae,Martes,Iversen (1972),,,
113,1,2,Mammal,Carnivora,Meles meles,11050,16.647,37.15,2.81,Carnivore,Eutherian,Meles,Mustelidae,AnAge Data; HAGRID: 1842; Refs: 364;204;344;555;546;000;000;000;000;000,,captivity; medium sample size; acceptable quality,Old World badger
114,1,2,Mammal,Carnivora,Meles meles,11050,16.64166667,,2.81,Carnivore,Eutherian,Mustelidae,Meles,Iversen (1972),,,
115,1,2,Mammal,Carnivora,Melursus ursinus,66957,47.064,,2.81,Carnivore,Eutherian,Melursus,Ursidae,AnAge Data; HAGRID: 1902; Refs: 364;344;484;556;711;000,,captivity; medium sample size; acceptable quality,Sloth bear
116,1,2,Mammal,Carnivora,Melursus ursinus,66960,47.05833333,,2.81,Carnivore,Eutherian,Ursidae,Melursus,McNab (1992a),,,
117,1,2,Mammal,Carnivora,Mephitis mephitis,5667,8.408333333,36.4,2.81,Carnivore,Eutherian,Mephitidae,Mephitis,Knudsen and Kilgore (1990),,,
118,1,2,Mammal,Carnivora,Mustela erminea,125.5,1.276,39.75,2.81,Carnivore,Eutherian,Mustela,Mustelidae,AnAge Data; HAGRID: 1846; Refs: 36;420;434;455;538;600;000;000;000,,captivity; small sample size; acceptable quality,Ermine
119,1,2,Mammal,Carnivora,Mustela erminea,210,1.733333333,,2.81,Carnivore,Eutherian,Mustelidae,Mustela,Iversen (1972),,,
120,1,2,Mammal,Carnivora,Mustela frenata,225,1.344,39.15,2.81,Carnivore,Eutherian,Mustela,Mustelidae,AnAge Data; HAGRID: 1848; Refs: 36;420;434;455;538;600;000;000;000,,captivity; tiny sample size; acceptable quality,Long-tailed weasel
121,1,2,Mammal,Carnivora,Mustela frenata,297,1.575,39,2.81,Carnivore,Eutherian,Mustelidae,Mustela,Brown and Lasiewski (1972),,,
122,1,2,Mammal,Carnivora,Mustela nivalis,77,0.983333333,,2.81,Carnivore,Eutherian,Mustelidae,Mustela,Casey and Casey (1979),,,
123,1,2,Mammal,Carnivora,Mustela putorius,1575,7.027777778,,2.81,Carnivore,Eutherian,Mustelidae,Mustela,Korhonen et al. (1983),,,
124,1,9,Mammal,Carnivora,Nandinia binotata,4270,5.565,37.55,2.81,Omnivore,Eutherian,Nandinia,Nandiniidae,AnAge Data; HAGRID: 1859; Refs: 36;420;434;455;671;600;000,,captivity; tiny sample size; acceptable quality,African palm civet
125,1,9,Mammal,Carnivora,Nandinia binotata,4270,4.811111111,37.4,2.81,Omnivore,Eutherian,Nandiniidae,Nandinia,McNab (1995),,,
126,1,2,Mammal,Carnivora,Nasua narica,3670,6.733,38.75,2.81,Carnivore,Eutherian,Nasua,Procyonidae,AnAge Data; HAGRID: 1895; Refs: 36;420;434;538;610;600;000;000,,captivity; medium sample size; acceptable quality,White-nosed coati
127,1,2,Mammal,Carnivora,Nasua narica,3670,6.736111111,38.6,2.81,Carnivore,Eutherian,Procyonidae,Nasua,Chevalier (1987),,,
128,1,9,Mammal,Carnivora,Nasua nasua,3924.3,5.591,36.55,2.81,Omnivore,Eutherian,Nasua,Procyonidae,AnAge Data; HAGRID: 1896; Refs: 36;420;434;455;610;600;000;000,,captivity; large sample size; high quality,South american coati
129,1,9,Mammal,Carnivora,Nasua nasua,4000,5.577777778,,2.81,Omnivore,Eutherian,Procyonidae,Nasua,Chevillard-Hugot et al. (1980),,,
130,1,2,Mammal,Carnivora,Neovison vison,660,2.722,39.15,2.81,Carnivore,Eutherian,Neovison,Mustelidae,AnAge Data; HAGRID: 1854; Refs: 36;343;344;420;434;400;000;000;000;000;000;000,,captivity; small sample size; acceptable quality,American mink
131,1,2,Mammal,Carnivora,Neovison vison,662,2.711111111,,2.81,Carnivore,Eutherian,Mustelidae,Neovison,Farrel and Wood (1968),,,
132,1,2,Mammal,Carnivora,Nyctereutes procyonoides,7575,16.93055556,,2.81,Carnivore,Eutherian,Canidae,Nyctereutes,Korhonen et al. (1983),,,
133,1,2,Mammal,Carnivora,Pagophilus groenlandicus,145657,184.425,36.3,2.81,Carnivore,Eutherian,Phocidae,Pagophilus,Ochoa-Acuna et al.,,,
